15426464731;Юннаций Э.З.;1983-08-16;фельдшер-спасатель;4;Волоколамское шоссе д.13 кв.210;89157838655;84997051672
75675314407;Ячешрин Т.У.;1978-10-19;рядовой механик технической роты;3;Окружная улица д.6 кв.113;89058793099;84992256910
13961259334;Уцзаоцвич М.И.;1992-03-29;писарь;4;Пехотная улица д.74 кв.131;89673560226;84991286438
96414718647;Мявужуко Л.А.;1971-01-19;химик;3;Светлогорский проезд д.52 кв.73;89251839469;84994568974
50892724859;Пюяршин З.А.;1975-08-01;телеграфист;2;Пенягинская улица д.53 кв.107;89644440503;84953708033
43537136209;Ахукнов Н.Э.;1990-04-09;слесарь;2;Планерная улица д.66 кв.89;89629636976;84986579988
32033019745;Ахакюскин Я.У.;1974-04-19;старший электрик;4;Тепличный переулок д.70 кв.184;89194081191;84997844122
52769912118;Озбоюгшов Я.К.;1986-06-07;без какой-либо должности;3;Уваровский переулок д.50 кв.298;89683504823;84982968231
79753495038;Фаочкий О.Т.;1982-09-02;стрелок;2;Юровская улица д.77 кв.161;89627711057;84983128671
68567127114;Ахумцев З.Б.;1996-02-02;дежурный;4;Планерная улица д.46 кв.101;89057122317;84982552922
35371245921;Угкадалов А.Е.;1970-12-17;без какой-либо должности;4;Твардовского, улица д.94 кв.290;89059076334;84983461568
12848188218;Узлеров Е.И.;1978-07-23;старший оптик;5;Врачебный проезд д.86 кв.30;89588698004;84958406884
80972771401;Ючибичшин А.Г.;1974-09-03;помощник солиста;2;Сосновая аллея д.56 кв.236;89018806477;84994346540
63753362147;Дылюямцин З.З.;1978-01-25;командир взвода;1;Цариков переулок д.42 кв.47;89965402123;84999851751
62592839124;Атезпурин В.П.;1975-06-25;старший механик-водитель;3;Таманская улица д.30 кв.287;89172761249;84995984609
77949671062;Отмоюхвич Х.Р.;1999-10-04;огнемётчик;2;Щукинская улица д.26 кв.234;89672257210;84984458351
79748433528;Ябофцов Д.И.;1983-04-21;солист;2;Родионовская улица д.35 кв.171;89051894880;84998168669
28164630068;Юшеслин Б.Х.;1985-04-14;заместитель командира взвода;4;Карамышевская набережная д.78 кв.171;89629892917;84995243426
60698113429;Итланов Г.У.;1974-09-28;старший механик;4;Фабричная улица д.42 кв.106;89693383561;84991932070
59359144685;Умзапов Ц.Х.;1986-11-04;экскаваторщик;4;Строгинское шоссе д.62 кв.78;89069061802;84988763215
97282516040;Сиигпов О.О.;1988-02-17;старший электрик;1;Машкинское шоссе д.3 кв.55;89634657495;84988994668
55592767430;Диябобров С.Е.;2001-04-24;химик;2;Таманская улица д.16 кв.254;89253674826;84987217836
15692617345;Цоаклин О.Л.;1970-08-02;электромонтёр;4;Ландышевая улица д.22 кв.56;89655213695;84951880138
28484095877;Одваков Т.У.;1979-01-28;механик по реактивным моторам самолётов;4;Туркменский проезд д.32 кв.236;89365766341;84957387687
94204126089;Емшунов Ф.О.;1970-09-26;помощник начальника;1;Одинцовская улица д.92 кв.281;89061443298;84987201329
17268201287;Яшкоков Й.А.;1972-12-27;авиационный техник;1;Причальный проезд д.71 кв.234;89862918072;84994015195
66669109088;Деолшелин К.А.;1999-08-10;огнемётчик;2;Ангелов переулок д.97 кв.85;89679186595;84989911296
74360760290;Выобнов К.К.;1993-03-07;пулемётчик;2;Светлогорский проезд д.47 кв.7;89057212052;84958935093
54958537936;Рекюифлин А.З.;1998-01-30;операционная медицинская сестра;3;Неманский проезд д.34 кв.197;89107568032;84981738570
64515718310;Сеодосвич Х.Й.;1984-08-25;эксперт по подрывным работам под водой;1;Лодочная улица д.49 кв.208;89653500366;84998830522
94569918171;Ярвынин З.А.;1973-05-20;солист;3;Неманский проезд д.42 кв.99;89838911078;84985285879
30999306106;Виизнов Ж.А.;1983-02-03;старший электрик;5;Таллинская улица д.37 кв.66;89291421025;84996502662
13495676419;Южфолин К.Ц.;1988-03-03;авиационный техник;5;Сходненская улица д.95 кв.135;89649676259;84954833884
36501297730;Тююкхапов С.Н.;1978-10-23;укладчик парашютов;3;Трикотажный проезд д.98 кв.71;89159614011;84993425493
87416831423;Угташин Н.Я.;1989-07-27;контролер;2;Подмосковная улица д.15 кв.228;89198710007;84992109156
61613595045;Ожилкий З.К.;1975-07-28;помощник начальника;2;Волоколамское шоссе д.14 кв.169;89852356472;84995124502
34920730672;Тиуфков А.И.;1989-09-26;музыкант;5;Иваньковское шоссе д.39 кв.279;89293380703;84988849221
40789942170;Улзеанцев С.Д.;1970-12-08;радиотелеграфист;4;Фабричная улица д.47 кв.139;89654946630;84954093096
84297035063;Ахсыцокин Л.Я.;1995-07-18;музыкант;1;Пехотная улица д.96 кв.278;89806880435;84998586470
78278845519;Юлдазошин Х.М.;1994-08-18;помощник командира;5;Путилковское шоссе д.47 кв.77;89861976372;84984569415
89472067181;Неурлов Ю.П.;1971-12-07;без какой-либо должности;1;Иваньковское шоссе д.51 кв.100;89634521823;84994003725
68384601318;Юкедтюцов Л.Ю.;1984-11-19;наводчик-оператор;5;Неманский проезд д.39 кв.108;89664556353;84952650039
72365248920;Воюпегций О.З.;1995-06-06;наводчик-оператор;1;Лодочная улица д.98 кв.80;89998844899;84997107970
24634740289;Елучрин П.Ю.;1988-11-19;стрелок;3;Сходненский тупик д.94 кв.238;89252568435;84958257159
84984772418;Оззопов И.С.;1991-05-27;помощник солиста;3;Цветочный проезд д.63 кв.100;89672319318;84991650695
87069444764;Шикуко Ф.М.;1990-02-12;разведчик;5;Строгинский бульвар д.11 кв.89;89993159500;84986277019
71474327231;Хищушов К.К.;1978-02-18;помощник командира;1;Путилковское шоссе д.92 кв.227;89363893350;84953164108
74583200896;Ушянашнов С.Г.;1989-09-08;старший механик;4;Братцевская улица д.67 кв.169;89998931751;84986764975
79322132469;Отридепин Э.Ц.;1980-11-03;механик по реактивным моторам самолётов;3;Вишнёвая улица д.8 кв.73;89097825317;84999675537
44843817285;Геедвич Ф.Т.;1989-11-05;помощник командира;3;Пехотная улица д.88 кв.28;89163423941;84954855520
56144539218;Вэгецев К.А.;1998-05-06;экскаваторщик;4;Ландышевая улица д.30 кв.274;89037195396;84951580624
18850700405;Узтосенов Н.Я.;1976-12-10;старший оптик;2;Волоколамский проезд д.20 кв.271;89585148826;84999928182
18042038503;Вобюулкин В.М.;1992-02-16;старший оператор;3;Воротынская улица д.30 кв.213;89108899805;84996323746
76499827994;Хезиидций У.К.;1981-01-24;укладчик парашютов;4;Никольский тупик д.18 кв.70;89095382447;84998153649
44173454795;Яраспевич В.Б.;1997-11-01;оператор;4;Аэродромная улица д.28 кв.274;89067264292;84986257909
85867542012;Овдюилпов Б.С.;1987-02-18;командир танка;4;Трикотажный проезд д.61 кв.105;89177537831;84997861408
68322093512;Рофоюдпов О.Ф.;1976-10-29;снайпер;2;Захарьинская улица д.49 кв.240;89635627250;84952856043
13717411221;Етарцов Б.Ш.;1995-03-08;без какой-либо должности;4;Новопоселковая улица д.87 кв.204;89659984809;84983017516
97632230163;Амекцин Ф.Ш.;1976-06-09;без какой-либо должности;3;Строительный проезд д.44 кв.274;89963917556;84994245932
23321677602;Губыров Й.И.;1989-10-15;музыкант;4;Дубравная улица д.59 кв.57;89069096932;84996991068
70274114985;Азедпишин Э.Р.;1980-10-10;старший механик;5;Мякининский проезд д.43 кв.170;89806225135;84987969618
45254583726;Нирутелин Г.У.;1992-02-29;командир взвода;3;Юровская улица д.40 кв.277;89015826987;84959405832
